136,日本に行くなら，アメリカが懐しくなるでしょう。,1506.0,51.3,25.3,23.2,0.3
233,小原は会社で早朝から会議が始まる。,1506.0,9.8,24.2,65.9,0.1
42,君はパリでこの香水を買ったか(い)。,1506.0,79.5,12.0,8.4,0.2
8,跡形もなく焼けてしまった建物の上を．ヘリコプターが飛んでいた。,1856.0,90.5,4.8,4.3,0.4
56,魚のうちで鯛がいい。,1506.0,74.0,16.5,9.4,0.1
123,溺れかかっていた子供が地元の人から救助され,1856.0,54.6,15.9,29.2,0.3
158,私は背中が寒くなることを感じた。,2151.0,39.8,24.6,35.4,0.1
196,太郎に英語を話せないのなら，しかたがない。,1506.0,26.2,22.2,51.5,0.1
195,おや，太郎来た。,1856.0,26.3,25.2,48.4,0.1
186,隊長の質問に対する直ちの答え。,1856.0,28.7,30.8,40.2,0.2
100,日本に何かを勉強をしに来ている外人は……。,1506.0,63.3,16.9,19.5,0.3
63,太郎が戸惑ったニュース。,1506.0,73.0,21.0,5.9,0.0
182,自転車ばかりでは，ミシシッピ河は渡れない。/自動車ばかりではミシシッピ河は渡れない。,1506.0,29.8,27.3,42.7,0.2
20,調停を中止すると委員長が代表団に話した。,1506.0,84.5,10.5,4.7,0.3
104,太郎が，僕にお金を貸してやりたいと，電話をかけて来た。,1506.0,61.0,18.5,20.4,0.2
143,太郎は，遊ぶ子供に話しかけた。,1506.0,48.5,23.4,28.0,0.1
172,太郎が次郎に自分=次郎)の生い立ちを聞いた。,1856.0,33.3,15.9,50.6,0.2
219,戦争が終わったあとに，10年たった。,2151.0,18.4,22.8,58.7,0.2
231,お客さんがお着き始めになった。,1856.0,13.3,14.9,71.5,0.3
25,先生はこの時計をパリでお買いになりましたか。1506,83.9,8.6,7.4,0.1,
128,太郎がはるばるやって来た駅。,1506.0,54.1,27.3,18.5,0.1
84,昔，鍛治屋と大工があるところで力試しをした。,1506.0,69.0,18.3,12.5,0.1
2,私は毎朝子どもたちに弁当を作ります。,1506.0,96.9,1.1,1.7,0.3
168,山田君の本が自分（=山田君）の机の上にある。/山田君の本が自分(=山田君)のテーブルの上にある。,525.0,35.2,17.9,46.5,0.4
115,太郎が来なかったとは確かだ。,1506.0,56.4,8.8,34.3,0.5
77,加藤氏は，健康だから，忙しい日程をこなせた。,1506.0,70.4,22.9,6.1,0.6
85,太郎は日本語を解りはじめた。,1856.0,69.0,14.4,16.6,0.0
122,太郎はその時英語ができない外国人と結婚した。,2151.0,54.8,27.517.5,0.2,
60,はげしく降っていた雪の中を，救助隊が出動した。1506,73.6,12.7,13.5,0.2,
129,太郎が引き受ければ，すべての人事がうまく行,1506.0,53.9,25.2,20.7,0.2
92,太郎が死ぬなら，花子に遺産が入るはずです。,1506.0,66.1,16.2,17.7,0.1
198,坂にゆっくりのぼった。,1506.0,25.9,13.8,60.3,0.0
218,子供たちがしたことは，物音に驚くことだった。,1506.0,18.5,27.3,53.9,0.3
178,私の足がだるい。,1506.0,31.5,33.9,34.3,0.3
214,タバコをのむなら，やめられなくなるでしょう。,1506.0,19.9,31.9,48.2,0.0
216,本箱が購入したい。,1506.0,19.7,18.0,62.1,0.2
170,6時の鐘がなってから，7時に映画を見に行った。,2151.0,33.6,36.4,29.7,0.4
162,オランダの第一流のパイロットが日本人から雇われている。,1506.0,38.2,22.6,39.0,0.1
