60,187,家で寝ていると，次郎が花子を訪ねた。,1506,28.4,29.0,42.3,0.3
61,55,会えたのは，太郎にだけだ。,1506,74.4,16.1,9.4,0.2
62,21,彼は，金があるから，子供を留学させた。,1506,84.5,9.9,5.4,0.3
63,107,関係者から以上の手続きが取られた。,1856,59.4,21.2,19.2,0.2
64,163,先生は，自分が教えていらっしゃる学生と結婚したがっていらっしゃるよ。,1506,35.8,27.2,36.7,0.3
65,127,壁と二郎の頭がぶつかった。,1506,54.2,19.1,26.6,0.1
66,41,加藤氏は，友人が国会で質問していた有様をテレビで見た。,1856,79.7,9.5,10.8,0.0
67,63,太郎が戸惑ったニュース。,1506,73.0,21.0,5.9,0.0
68,231,お客さんがお着き始めになった。,1856,13.3,14.9,71.5,0.3
69,16,太郎が読んでいる本はシェークスピアだった。,2151,86.1,6.3,6.5,1.1
70,183,英語を話すなら，田中さんに解らないでしょう。,1506,29.6,27.3,42.6,0.5
71,233,小原は会社で早朝から会議が始まる。,1506,9.8,24.2,65.9,0.1
72,23,鐘が鳴ったあとで、家を出た。,2151,84.2,12.3,2.6,0.8
73,178,私の足がだるい。,1506,31.5,33.9,34.3,0.3
74,207,試験が受かった。,1506,21.8,14.6,63.5,0.1
75,68,夕食の支度がされている。,1506,72.2,13.7,14.1,0.0
76,27,彼は，燃えさかっていた火の中へ飛びこんで，子供を助けた。,1856,83.2,8.2,8.5,0.1
77,57,花のうちで桜がいい。,1506,74.0,16.1,9.7,0.2
78,43,東京から京都まででこの列車がとまる駅がいくつあるか。,2151,79.2,11.9,9.0,0.0
79,153,山田君は，先生の言うことを聞かないで，悪い学生です。,1506,42.4,25.8,31.5,0.2
80,98,太郎が，前に僕にお金を貸してやったことがあると、電話をかけて来た。,1856,64.7,19.3,15.7,0.2
81,148,病気なのは，体重が10ポンド減ったからです。,1506,43.8,24.7,31.3,0.2
82,202,同僚が太郎に困らせられている。,1506,25.0,14.0,60.9,0.1
83,65,本箱を購入できる。,1506,72.6,18.9,8.4,0.1
84,84,昔，鍛治屋と大工があるところで力試しをした。,1506,69.0,18.3,12.5,0.1
85,165,僕が行きたいなら，太郎も行きたがっているでしょう。,1506,35.5,29.7,34.5,0.3
86,103,太郎は，子供が遊んでいたのを見ていた。,1856,61.5,14.0,23.9,0.5
87,48,そんなに高いと，私は買いませんよ。(決意),1506,76.9,14.7,8.2,0.1
88,15,電車に飛び乗ると，傘を持っていた人が話しかけてきた。,2151,86.1,8.1,5.7,0.1
89,12,東京から岡山まででヒカリが停まる駅がいくつあるか。/東京から岡山まででヒカリが停まる駅はいくつあるか。,2151,87.9,7.8,4.2,0.0
90,201,太郎に英語を話せるとは知らなかった。,1856,25.1,18.8,56.0,0.1
91,29,太郎が来るなら，一緒に食事がしたい。,1856,82.5,11.4,5.9,0.2
92,143,太郎は，遊ぶ子供に話しかけた。,1506,48.5,23.4,28.0,0.1
93,64,あそこへ行けるのは，バスでだけです。,1506,73.0,15.1,11.8,0.1
94,204,この大学は，基礎科学を何も教えないで大学である。，三流,1506,23.2,27.8,48.9,0.1
95,96,秋子は中国語を読むことができて，日本語を話すことができる。/太郎はドイツ語を読むことができて，イタリア語を話すことができる。,2151,65.1,22.1,12.6,0.1
96,33,太郎が花子をなぐって，二郎が秋子をなぐった。,2151,81.6,13.2,5.1,0.0
97,18,お金がなくなる前に帰りましょう。,2151,84.6,10.4,5.0,0.1
98,77,加藤氏は，健康だから，忙しい日程をこなせた。,1506,70.4,22.9,6.1,0.6
99,211,山田君が書いた本が自分(=山田君)には気に入らない。,1506,20.8,20.4,58.6,0.3
